model,alg,workers,buchi,ltl,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,buchisize,scclist

anderson.1_F_01,ufscc,64,spotba,14,0.050,2016-07-04.22:37:31,0,117,231,898,1768,0,0,2,898,898,2,-1
anderson.1_F_02,ufscc,64,spotba,18,0.050,2016-07-04.22:37:33,26,142,293,1298,2736,0,208,12,1298,1058,2,-1
anderson.1_F_05,ufscc,64,spotba,14,0.050,2016-07-04.22:37:34,0,99,182,858,1638,0,0,9,858,858,2,-1
anderson.1_F_07,ufscc,64,spotba,35,0.080,2016-07-04.22:37:35,38,324,667,2170,4371,0,109,235,2116,1779,3,-1
anderson.1_F_08,ufscc,64,spotba,15,0.050,2016-07-04.22:37:37,5,155,316,959,2276,0,0,13,959,954,3,-1
anderson.1_F_09,ufscc,64,spotba,15,0.050,2016-07-04.22:37:39,0,124,417,1002,3490,0,0,34,1002,1001,2,-1
anderson.1_T_03,ufscc,64,spotba,14,0.030,2016-07-04.22:37:40,0,79,148,721,1411,0,0,4,721,721,2,-1
anderson.1_T_04,ufscc,64,spotba,14,0.060,2016-07-04.22:37:41,22,122,253,1083,2372,0,127,10,1083,864,2,-1
anderson.1_T_06,ufscc,64,spotba,-1,0.510,2016-07-04.22:37:43,280283,632927,1671830,1036928,3076335,0,918368,500505,827364,103758,2,-1
anderson.2_F_01,ufscc,64,spotba,18,0.070,2016-07-04.22:37:44,0,402,897,1117,2691,0,0,2,1117,1117,2,-1
anderson.2_F_05,ufscc,64,spotba,20,0.070,2016-07-04.22:37:46,0,419,923,1116,2560,0,0,1,1116,1116,2,-1
anderson.2_F_08,ufscc,64,spotba,23,0.110,2016-07-04.22:37:48,98,794,2012,1825,4882,0,116,111,1819,1615,3,-1
anderson.2_T_02,ufscc,64,spotba,-1,0.200,2016-07-04.22:37:50,929,2386,7699,7845,26343,0,5442,3756,7102,2513,2,-1
anderson.2_T_03,ufscc,64,spotba,20,0.070,2016-07-04.22:37:51,0,341,748,1050,2370,0,0,1,1050,1050,2,-1
anderson.2_T_04,ufscc,64,spotba,16,0.090,2016-07-04.22:37:53,260,533,1238,2234,5476,0,831,1,2234,1024,2,-1
anderson.2_T_06,ufscc,64,spotba,-1,0.240,2016-07-04.22:37:55,1376,2833,9198,9437,34806,0,7448,4055,7995,2639,2,-1
anderson.2_T_07,ufscc,64,spotba,-1,0.160,2016-07-04.22:37:58,183,1640,4148,5238,14222,0,361,3502,4448,2541,3,-1
anderson.2_T_09,ufscc,64,spotba,-1,0.150,2016-07-04.22:37:59,2,1459,9453,5207,35290,0,8,10741,4538,2835,2,-1
anderson.3_F_01,ufscc,64,spotba,19,0.090,2016-07-04.22:38:00,0,603,1514,1235,3166,0,0,6,1235,1235,2,-1
anderson.3_F_02,ufscc,64,spotba,39,0.140,2016-07-04.22:38:02,226,1140,2562,2425,5647,0,216,5,2425,1911,2,-1
anderson.3_F_05,ufscc,64,spotba,19,0.100,2016-07-04.22:38:04,0,701,1693,1303,3240,0,0,1,1303,1303,2,-1
anderson.3_F_06,ufscc,64,spotba,57,0.380,2016-07-04.22:38:06,6741,10801,26894,13719,34579,1,8029,220,13713,4976,2,-1
anderson.3_F_07,ufscc,64,spotba,41,0.210,2016-07-04.22:38:08,99,2168,5836,3100,8231,3,36,59,3099,2994,3,-1
anderson.3_F_08,ufscc,64,spotba,20,0.110,2016-07-04.22:38:09,9,832,2241,1421,4238,0,0,3,1421,1412,3,-1
anderson.3_F_09,ufscc,64,spotba,40,0.170,2016-07-04.22:38:11,0,1515,9128,2208,13710,0,0,35,2208,2207,2,-1
anderson.3_T_03,ufscc,64,spotba,22,0.110,2016-07-04.22:38:12,0,813,1993,1502,3738,0,0,6,1502,1502,2,-1
anderson.3_T_04,ufscc,64,spotba,19,0.100,2016-07-04.22:38:15,106,675,1661,1743,4487,0,246,2,1743,1261,2,-1
anderson.4_F_01,ufscc,64,spotba,28,0.130,2016-07-04.22:38:17,0,1085,2800,1503,4159,0,0,1,1503,1503,2,-1
anderson.4_F_05,ufscc,64,spotba,28,0.130,2016-07-04.22:38:20,0,983,2416,1377,3751,0,0,2,1377,1377,2,-1
anderson.4_F_08,ufscc,64,spotba,69,0.290,2016-07-04.22:38:22,1112,4202,10705,5066,13665,0,1109,436,5022,3636,3,-1
anderson.4_T_02,ufscc,64,spotba,-1,0.440,2016-07-04.22:38:24,18544,48183,203160,65978,287813,0,95115,77614,56778,14215,2,-1
anderson.4_T_03,ufscc,64,spotba,27,0.110,2016-07-04.22:38:26,0,943,2409,1299,3639,0,0,2,1299,1299,2,-1
anderson.4_T_04,ufscc,64,spotba,23,0.160,2016-07-04.22:38:28,1002,1533,3541,2922,7703,0,1726,1,2922,1162,2,-1
anderson.4_T_06,ufscc,64,spotba,-1,0.450,2016-07-04.22:38:32,28566,58205,243904,81404,370892,0,133008,80579,67452,13855,2,-1
anderson.4_T_07,ufscc,64,spotba,-1,0.420,2016-07-04.22:38:34,2997,32636,107132,47827,160600,0,7300,79163,38553,14004,3,-1
anderson.4_T_09,ufscc,64,spotba,-1,0.430,2016-07-04.22:38:36,2,29641,323560,51607,582824,0,19,337831,36319,14269,2,-1
anderson.5_F_01,ufscc,64,spotba,37,0.250,2016-07-04.22:38:38,0,2241,7185,2461,8238,0,0,1,2461,2461,2,-1
anderson.5_F_02,ufscc,64,spotba,47,0.280,2016-07-04.22:38:40,1158,3223,8819,3455,10077,0,814,3,3455,2342,2,-1
