model,alg,workers,buchi,ltl,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,buchisize,scclist

adding.4_F_001,ufscc,64,spotba,33,0.280,2016-07-14.14:37:48,774,1932,3351,3988,7289,77,735,0,3988,2193,9,-1
adding.4_F_002,ufscc,64,spotba,29,0.250,2016-07-14.14:37:49,245,1200,4365,2032,8057,94,249,0,2032,1779,8,-1
adding.4_F_003,ufscc,64,spotba,29,0.170,2016-07-14.14:37:52,26,808,1779,1501,3423,3,37,0,1501,1458,10,-1
adding.4_F_004,ufscc,64,spotba,29,0.130,2016-07-14.14:37:54,54,171,367,1501,4235,15,110,0,1501,1270,14,-1
adding.4_F_005,ufscc,64,spotba,29,0.160,2016-07-14.14:37:55,143,504,845,1702,3409,7,194,0,1702,1471,6,-1
adding.4_F_006,ufscc,64,spotba,29,0.140,2016-07-14.14:37:57,37,377,905,1484,3466,14,75,0,1484,1370,9,-1
adding.4_F_007,ufscc,64,spotba,33,0.230,2016-07-14.14:37:59,452,778,1779,4217,11324,149,1724,0,4217,2130,12,-1
adding.4_F_008,ufscc,64,spotba,38,0.170,2016-07-14.14:47:59,32,431,1339,1809,5736,104,56,0,1809,1678,8,-1
adding.4_F_009,ufscc,64,spotba,29,0.260,2016-07-14.14:48:01,861,1365,2312,6020,11946,330,1518,0,6020,2214,11,-1
adding.4_F_010,ufscc,64,spotba,29,0.110,2016-07-14.14:48:03,64,342,859,880,2644,2,9,0,880,779,16,-1
adding.4_F_011,ufscc,64,spotba,29,0.150,2016-07-14.14:48:05,113,663,1562,1630,4528,11,35,0,1630,1476,10,-1
adding.4_F_012,ufscc,64,spotba,29,0.150,2016-07-14.14:48:07,32,304,629,1733,3794,6,89,0,1733,1597,10,-1
adding.4_F_013,ufscc,64,spotba,33,0.210,2016-07-14.14:48:09,89,706,1528,1331,3046,22,30,0,1331,1216,8,-1
adding.4_F_014,ufscc,64,spotba,32,0.140,2016-07-14.14:48:11,0,276,580,1660,3728,1,0,0,1660,1660,4,-1
adding.4_F_015,ufscc,64,spotba,29,0.180,2016-07-14.14:48:13,7,846,1678,1609,3388,11,0,0,1609,1603,8,-1
adding.4_F_016,ufscc,64,spotba,29,0.210,2016-07-14.14:48:15,258,1423,2678,2635,5326,81,163,0,2635,2166,5,-1
adding.4_F_017,ufscc,64,spotba,29,0.130,2016-07-14.14:48:18,26,296,629,1378,2932,2,183,0,1378,1311,4,-1
adding.4_F_018,ufscc,64,spotba,32,0.150,2016-07-14.14:48:20,0,496,991,1364,2791,1,0,0,1364,1364,4,-1
adding.4_F_019,ufscc,64,spotba,32,0.150,2016-07-14.14:48:22,45,419,843,1913,4221,9,96,0,1913,1756,16,-1
adding.4_F_020,ufscc,64,spotba,32,0.110,2016-07-14.14:48:24,122,326,593,1336,3003,1,146,0,1336,844,12,-1
adding.4_F_021,ufscc,64,spotba,29,0.150,2016-07-14.14:48:26,104,331,564,2522,4751,8,382,0,2522,1676,10,-1
adding.4_F_022,ufscc,64,spotba,29,0.210,2016-07-14.14:48:28,264,605,1065,4605,8599,342,481,0,4605,2404,7,-1
adding.4_F_023,ufscc,64,spotba,29,0.230,2016-07-14.14:48:30,287,1447,2645,2949,5659,81,137,0,2949,2378,3,-1
adding.4_F_024,ufscc,64,spotba,29,0.150,2016-07-14.14:48:32,27,144,298,2489,3918,11,135,0,2489,1798,5,-1
adding.4_F_025,ufscc,64,spotba,32,0.210,2016-07-14.14:48:33,270,1512,2799,2762,5302,93,118,0,2762,2251,15,-1
adding.4_F_026,ufscc,64,spotba,29,0.150,2016-07-14.14:48:35,1,477,953,1149,2475,3,24,0,1149,1143,5,-1
adding.4_F_027,ufscc,64,spotba,30,0.130,2016-07-14.14:48:37,89,311,519,1780,3505,7,106,0,1780,1500,17,-1
adding.4_F_028,ufscc,64,spotba,32,0.130,2016-07-14.14:48:38,13,253,637,1460,4151,5,0,0,1460,1441,9,-1
adding.4_F_029,ufscc,64,spotba,29,0.210,2016-07-14.14:48:40,519,881,1681,4476,9456,218,885,0,4476,2178,6,-1
adding.4_F_030,ufscc,64,spotba,30,0.130,2016-07-14.14:48:42,11,214,524,1610,3985,17,3,0,1610,1571,7,-1
adding.4_F_031,ufscc,64,spotba,29,0.160,2016-07-14.14:48:44,113,422,1073,1463,4216,20,196,0,1463,1200,18,-1
adding.4_F_032,ufscc,64,spotba,29,0.140,2016-07-14.14:48:46,73,312,536,1780,3425,3,161,0,1780,1414,5,-1
adding.4_F_033,ufscc,64,spotba,29,0.150,2016-07-14.14:48:48,79,441,921,1294,3069,5,24,0,1294,1190,9,-1
adding.4_F_034,ufscc,64,spotba,32,0.180,2016-07-14.14:48:51,107,617,1104,1829,3621,1,121,0,1829,1464,6,-1
adding.4_F_035,ufscc,64,spotba,37,0.240,2016-07-14.14:48:52,400,1386,2627,2634,5293,34,240,0,2634,1933,12,-1
adding.4_F_036,ufscc,64,spotba,29,0.200,2016-07-14.14:48:54,31,747,1480,1582,3398,4,122,0,1582,1470,4,-1
adding.4_F_037,ufscc,64,spotba,29,0.200,2016-07-14.14:48:56,194,677,1259,3033,6025,141,311,0,3033,2219,4,-1
adding.4_F_038,ufscc,64,spotba,29,0.170,2016-07-14.14:48:57,1,252,503,472,1131,1,13,0,472,470,6,-1
adding.4_F_039,ufscc,64,spotba,30,0.280,2016-07-14.14:49:00,935,1586,3336,6008,13845,395,1173,0,6008,2360,21,-1
adding.4_F_040,ufscc,64,spotba,29,0.160,2016-07-14.14:49:01,49,559,1155,1360,3079,7,50,0,1360,1267,7,-1
adding.4_F_041,ufscc,64,spotba,29,0.090,2016-07-14.14:49:03,40,202,367,1147,2413,13,205,0,1147,1064,5,-1
adding.4_F_042,ufscc,64,spotba,30,0.160,2016-07-14.14:49:04,157,948,1847,1975,4045,54,52,0,1975,1751,7,-1
adding.4_F_043,ufscc,64,spotba,29,0.150,2016-07-14.14:49:06,62,229,391,1538,3053,1,124,0,1538,1353,6,-1
adding.4_F_044,ufscc,64,spotba,29,0.170,2016-07-14.14:49:08,142,667,1261,1686,3416,1,136,0,1686,1447,6,-1
adding.4_F_045,ufscc,64,spotba,29,0.130,2016-07-14.14:49:10,29,167,289,1709,3385,31,58,0,1709,1582,5,-1
adding.4_F_046,ufscc,64,spotba,29,0.180,2016-07-14.14:49:12,416,830,1678,2723,6167,43,511,0,2723,1689,6,-1
adding.4_F_047,ufscc,64,spotba,32,0.220,2016-07-14.14:59:12,44,850,2849,1504,5074,36,40,0,1504,1438,6,-1
adding.4_F_048,ufscc,64,spotba,29,0.340,2016-07-14.14:59:14,1764,3558,6255,5146,9454,424,838,0,5146,2857,8,-1
adding.4_F_049,ufscc,64,spotba,33,0.150,2016-07-14.14:59:16,26,281,546,892,1906,1,31,0,892,849,13,-1
adding.4_F_050,ufscc,64,spotba,29,0.130,2016-07-14.14:59:19,33,250,437,1683,3296,15,11,0,1683,1567,11,-1
