model,alg,workers,buchi,ltl,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,buchisize,scclist

anderson.1_F_01,ufscc,64,spotba,16,0.080,2016-07-14.13:29:56,0,103,200,804,1584,0,0,1,804,804,2,-1
anderson.1_F_02,ufscc,64,spotba,20,0.120,2016-07-14.13:29:58,31,173,350,1117,2335,0,188,7,1117,967,2,-1
anderson.1_F_05,ufscc,64,spotba,19,0.070,2016-07-14.13:30:00,0,107,199,844,1626,0,0,2,844,844,2,-1
anderson.1_F_07,ufscc,64,spotba,34,0.140,2016-07-14.13:30:02,39,299,603,2154,4460,0,78,245,2116,1834,3,-1
anderson.1_F_08,ufscc,64,spotba,24,0.160,2016-07-14.13:30:04,15,220,461,994,2333,0,7,9,993,959,3,-1
anderson.1_F_09,ufscc,64,spotba,16,0.070,2016-07-14.13:30:05,0,65,221,446,1633,0,0,1,446,446,2,-1
anderson.2_F_01,ufscc,64,spotba,26,0.110,2016-07-14.13:30:07,0,332,765,996,2431,0,0,1,996,996,2,-1
anderson.2_F_05,ufscc,64,spotba,25,0.100,2016-07-14.13:30:10,0,219,475,622,1526,0,0,1,622,622,2,-1
anderson.2_F_08,ufscc,64,spotba,24,0.200,2016-07-14.13:30:14,288,1042,2512,2029,5244,0,391,100,2024,1457,3,-1
anderson.3_F_01,ufscc,64,spotba,20,0.130,2016-07-14.13:30:17,0,432,1059,955,2397,0,0,1,955,955,2,-1
anderson.3_F_02,ufscc,64,spotba,39,0.190,2016-07-14.13:30:19,209,985,2237,2301,5356,0,287,6,2299,1722,2,-1
anderson.3_F_05,ufscc,64,spotba,24,0.160,2016-07-14.13:30:21,0,575,1377,1105,2739,0,0,1,1105,1105,2,-1
anderson.3_F_06,ufscc,64,spotba,108,0.450,2016-07-14.13:30:23,7647,12944,33845,15616,41535,1,9447,379,15609,6252,2,-1
anderson.3_F_07,ufscc,64,spotba,42,0.240,2016-07-14.13:30:25,70,1476,3898,2118,5584,0,27,16,2118,2027,3,-1
anderson.3_F_08,ufscc,64,spotba,20,0.220,2016-07-14.13:30:27,101,840,2093,1287,3678,0,44,1,1287,1159,3,-1
anderson.3_F_09,ufscc,64,spotba,23,0.180,2016-07-14.13:30:29,0,605,3624,1162,7428,0,0,11,1162,1162,2,-1
anderson.4_F_01,ufscc,64,spotba,33,0.150,2016-07-14.13:30:32,0,271,867,486,1788,0,0,1,486,486,2,-1
anderson.4_F_05,ufscc,64,spotba,30,0.210,2016-07-14.13:30:34,0,1004,2598,1299,3656,0,0,2,1299,1299,2,-1
anderson.4_F_08,ufscc,64,spotba,35,0.390,2016-07-14.13:30:37,3032,5755,14372,7141,18742,0,4199,428,7100,3312,3,-1
anderson.5_F_01,ufscc,64,spotba,30,0.300,2016-07-14.13:30:40,0,2037,6903,2329,8326,0,0,1,2329,2329,2,-1
anderson.5_F_02,ufscc,64,spotba,68,0.330,2016-07-14.13:30:44,993,3019,8071,3247,9269,0,656,2,3247,2265,2,-1
anderson.5_F_05,ufscc,64,spotba,38,0.290,2016-07-14.13:30:48,0,1199,3817,1377,4766,0,0,1,1377,1377,2,-1
anderson.5_F_06,ufscc,64,spotba,1372,0.620,2016-07-14.13:30:50,194340,250080,615395,251832,622942,1,168601,2889,251827,56052,2,-1
anderson.5_F_07,ufscc,64,spotba,76,0.450,2016-07-14.13:30:54,47,5092,19022,5300,20076,0,10,32,5300,5253,3,-1
anderson.5_F_08,ufscc,64,spotba,57,0.420,2016-07-14.13:30:57,609,4015,12444,4206,13778,0,59,12,4206,3595,3,-1
anderson.5_F_09,ufscc,64,spotba,66,0.390,2016-07-14.13:31:00,0,3556,44440,3811,49949,0,0,73,3811,3811,2,-1
anderson.6_F_05,ufscc,64,spotba,44,0.290,2016-07-14.13:31:03,0,1835,5718,2018,6824,0,0,1,2018,2018,2,-1
anderson.6_F_08,ufscc,64,spotba,34,0.400,2016-07-14.13:31:07,1975,3868,9951,4112,11742,0,1582,27,4112,2229,3,-1
anderson.7_F_01,ufscc,64,spotba,38,0.410,2016-07-14.13:31:10,0,3203,12525,3372,13598,0,0,1,3372,3372,2,-1
anderson.7_F_02,ufscc,64,spotba,105,0.380,2016-07-14.13:31:12,1269,3064,8683,3237,9902,0,929,1,3237,2013,2,-1
anderson.7_F_05,ufscc,64,spotba,45,0.380,2016-07-14.13:31:16,0,2345,8461,2516,9545,0,0,1,2516,2516,2,-1
anderson.7_F_06,ufscc,64,spotba,1309,0.640,2016-07-14.13:31:19,216712,232414,619917,235029,633976,1,328094,829,235029,16049,2,-1
anderson.7_F_07,ufscc,64,spotba,121,0.510,2016-07-14.13:31:22,138,6360,25662,6536,26770,0,84,68,6536,6398,3,-1
anderson.8_F_01,ufscc,64,spotba,59,0.220,2016-07-14.13:31:27,0,594,3114,739,4191,0,0,1,739,739,2,-1
anderson.8_F_05,ufscc,64,spotba,49,0.270,2016-07-14.13:31:31,0,986,4489,1130,5560,0,0,1,1130,1130,2,-1
anderson.8_F_08,ufscc,64,spotba,187,0.650,2016-07-14.13:31:34,21390,27063,63394,27218,65041,0,24437,678,27218,5995,3,-1
at.1_F_01,ufscc,64,spotba,2,0.040,2016-07-14.13:31:37,0,1,4,64,320,64,0,0,64,64,2,-1
at.1_F_02,ufscc,64,spotba,4,0.050,2016-07-14.13:31:40,0,16,80,125,636,112,0,0,125,125,2,-1
at.1_F_05,ufscc,64,spotba,11,0.100,2016-07-14.13:31:44,0,190,603,494,1804,116,0,0,494,494,2,-1
at.1_F_06,ufscc,64,spotba,3,0.040,2016-07-14.13:31:48,0,6,32,83,676,83,0,0,83,83,2,-1
at.2_F_01,ufscc,64,spotba,2,0.040,2016-07-14.13:31:50,0,1,4,64,320,64,0,0,64,64,2,-1
at.2_F_02,ufscc,64,spotba,4,0.060,2016-07-14.13:31:52,0,23,116,181,912,142,0,0,181,181,2,-1
at.2_F_05,ufscc,64,spotba,15,0.110,2016-07-14.13:31:55,0,321,936,686,2272,137,0,0,686,686,2,-1
at.2_F_06,ufscc,64,spotba,3,0.060,2016-07-14.13:31:57,0,7,40,82,668,82,0,0,82,82,2,-1
