model,alg,workers,buchi,ltl,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,buchisize,scclist

BridgeAndVehicles-PT-V10P10N10_LTLF_1_F_,ufscc,64,spotba,87,0.750,2016-07-15.00:42:50,13618,15795,49946,45745,145529,2,55690,0,45745,4092,4,-1
BridgeAndVehicles-PT-V20P10N10_LTLF_4_F_,ufscc,64,spotba,171,1.380,2016-07-15.00:42:56,80306,84009,262604,122725,392353,4,210218,0,122725,6518,2,-1
BridgeAndVehicles-PT-V20P10N10_LTLS_1_F_,ufscc,64,spotba,178,1.430,2016-07-15.00:43:04,112755,117237,370845,151675,487697,1,286808,0,151675,6909,1,-1
BridgeAndVehicles-PT-V20P20N10_LTLF_13_F_,ufscc,64,spotba,171,1.390,2016-07-15.00:43:16,77910,81370,254989,139267,444342,1,229058,0,139267,6245,2,-1
BridgeAndVehicles-PT-V20P20N10_LTLF_2_F_,ufscc,64,spotba,178,1.390,2016-07-15.00:43:22,82012,86005,269473,123527,403181,1,222203,0,123527,6406,2,-1
BridgeAndVehicles-PT-V20P20N10_LTLF_6_F_,ufscc,64,spotba,178,1.390,2016-07-15.00:43:28,82347,87206,273349,114518,361624,2,206644,0,114518,7572,3,-1
BridgeAndVehicles-PT-V20P20N10_LTLF_7_F_,ufscc,64,spotba,171,0.840,2016-07-15.00:43:34,12561,16143,39198,24283,61025,1,20794,0,24283,4818,5,-1
BridgeAndVehicles-PT-V20P20N10_LTLS_10_F_,ufscc,64,spotba,181,1.240,2016-07-15.00:43:40,43118,46541,138638,58252,177629,1,98567,0,58252,5234,1,-1
BridgeAndVehicles-PT-V20P20N10_LTLS_8_F_,ufscc,64,spotba,178,1.390,2016-07-15.00:43:46,90202,94558,298406,131098,423791,2,239724,0,131098,6794,1,-1
CircularTrains-PT-048_LTLF_11_F_,ufscc,64,spotba,215,0.830,2016-07-15.00:44:08,0,2254,23281,2374,25265,0,0,1,2374,2374,2,-1
CircularTrains-PT-048_LTLF_15_F_,ufscc,64,spotba,219,1.420,2016-07-15.00:44:11,0,11662,63144,11808,65187,0,0,1,11808,11808,3,-1
CircularTrains-PT-048_LTLF_1_F_,ufscc,64,spotba,226,1.430,2016-07-15.00:44:14,0,10590,59800,10726,61863,0,0,1,10726,10726,2,-1
CircularTrains-PT-048_LTLF_2_F_,ufscc,64,spotba,216,1.420,2016-07-15.00:44:17,0,10365,58925,10489,60973,0,0,1,10489,10489,2,-1
CircularTrains-PT-048_LTLF_6_F_,ufscc,64,spotba,214,1.500,2016-07-15.00:44:21,0,11056,61874,11183,63827,0,0,2,11183,11183,10,-1
CircularTrains-PT-048_LTLF_7_F_,ufscc,64,spotba,229,1.440,2016-07-15.00:44:24,0,11686,62454,11832,64577,0,0,1,11832,11832,2,-1
CircularTrains-PT-048_LTLF_8_F_,ufscc,64,spotba,238,1.320,2016-07-15.00:44:28,0,8737,54843,8866,56890,0,0,1,8866,8866,2,-1
Diffusion2D-PT-D05N100_LTLS_1_F_,ufscc,64,spotba,104,0.600,2016-07-15.00:44:35,0,3338,69155,4355,84924,0,0,5658,4355,4355,2,-1
Diffusion2D-PT-D05N100_LTLS_2_F_,ufscc,64,spotba,106,0.730,2016-07-15.00:44:37,0,4717,102404,5153,109133,0,0,6687,5153,5153,2,-1
Diffusion2D-PT-D05N100_LTLS_4_F_,ufscc,64,spotba,111,0.680,2016-07-15.00:44:40,0,5034,109170,5600,118957,0,0,7607,5595,5595,2,-1
Diffusion2D-PT-D05N150_LTLS_0_F_,ufscc,64,spotba,175,0.780,2016-07-15.00:44:42,0,7569,165376,7923,170747,0,0,10620,7921,7921,2,-1
Diffusion2D-PT-D05N150_LTLS_1_F_,ufscc,64,spotba,154,0.680,2016-07-15.00:44:45,0,6484,137445,7966,161183,0,0,11436,7966,7966,2,-1
Diffusion2D-PT-D05N150_LTLS_2_F_,ufscc,64,spotba,154,0.650,2016-07-15.00:44:47,0,5640,116590,7277,142485,0,0,9305,7275,7275,2,-1
Diffusion2D-PT-D05N150_LTLS_3_F_,ufscc,64,spotba,154,0.660,2016-07-15.00:44:50,0,5319,112567,6492,131268,0,0,7810,6486,6486,2,-1
Diffusion2D-PT-D05N150_LTLS_4_F_,ufscc,64,spotba,154,0.700,2016-07-15.00:44:52,0,5249,112628,5589,118194,0,0,7912,5569,5569,2,-1
Diffusion2D-PT-D05N150_LTLS_5_F_,ufscc,64,spotba,154,0.650,2016-07-15.00:44:55,0,5590,114203,7101,137967,0,0,8933,7100,7100,2,-1
