model,alg,workers,buchi,ltl,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,buchisize,scclist

BridgeAndVehicles-PT-V10P10N10_LTLF_1_F_,ufscc,64,spotba,86,0.700,2016-07-05.07:06:20,14124,16419,50903,46105,148869,2,57719,0,46105,3869,4,-1
BridgeAndVehicles-PT-V20P10N10_LTLF_4_F_,ufscc,64,spotba,170,1.300,2016-07-05.07:06:37,83698,86999,272037,129545,412516,3,220753,0,129545,6475,2,-1
BridgeAndVehicles-PT-V20P10N10_LTLS_10_T_,ufscc,64,spotba,-1,1.370,2016-07-05.07:06:43,87576,87576,275205,190627,615971,0,301780,0,190627,6092,1,-1
BridgeAndVehicles-PT-V20P10N10_LTLS_11_T_,ufscc,64,spotba,-1,1.360,2016-07-05.07:06:49,87576,87576,275205,182084,587355,0,285127,0,182084,6186,1,-1
BridgeAndVehicles-PT-V20P10N10_LTLS_13_T_,ufscc,64,spotba,-1,1.330,2016-07-05.07:07:16,82956,82956,261996,165681,533849,0,265037,0,165681,5889,1,-1
BridgeAndVehicles-PT-V20P10N10_LTLS_14_T_,ufscc,64,spotba,-1,1.310,2016-07-05.07:07:43,82956,82956,261996,168738,548800,0,268205,0,168738,5849,1,-1
BridgeAndVehicles-PT-V20P10N10_LTLS_1_F_,ufscc,64,spotba,177,1.330,2016-07-05.07:07:49,100544,104815,331192,131038,416923,1,245992,0,131038,6521,1,-1
BridgeAndVehicles-PT-V20P10N10_LTLS_3_T_,ufscc,64,spotba,-1,1.320,2016-07-05.07:08:17,82956,82956,261996,169909,555829,0,272327,0,169909,6143,1,-1
BridgeAndVehicles-PT-V20P10N10_LTLS_7_T_,ufscc,64,spotba,-1,1.150,2016-07-05.07:08:22,55832,55832,181886,103223,340534,0,176200,0,103223,4257,1,-1
BridgeAndVehicles-PT-V20P10N10_LTLS_8_T_,ufscc,64,spotba,-1,1.330,2016-07-05.07:08:50,82956,82956,261996,182620,594038,0,283604,0,182620,6062,1,-1
BridgeAndVehicles-PT-V20P10N20_LTLF_12_T_,ufscc,64,spotba,-1,1.580,2016-07-05.07:09:09,109804,109804,352823,232912,775618,0,391209,0,232912,6136,1,-1
BridgeAndVehicles-PT-V20P10N20_LTLS_10_T_,ufscc,64,spotba,-1,1.520,2016-07-05.07:09:47,105184,105184,339614,176349,579855,0,312435,0,176349,5792,1,-1
BridgeAndVehicles-PT-V20P10N20_LTLS_11_T_,ufscc,64,spotba,-1,1.500,2016-07-05.07:10:16,105184,105184,339614,156715,513081,0,287354,0,156715,5732,1,-1
BridgeAndVehicles-PT-V20P10N20_LTLS_14_T_,ufscc,64,spotba,-1,1.530,2016-07-05.07:10:36,109804,109804,352823,180072,588647,0,324703,0,180072,6045,1,-1
BridgeAndVehicles-PT-V20P10N20_LTLS_1_T_,ufscc,64,spotba,-1,1.540,2016-07-05.07:11:06,105184,105184,339614,196952,652536,0,339357,0,196952,6109,1,-1
BridgeAndVehicles-PT-V20P10N20_LTLS_9_T_,ufscc,64,spotba,-1,1.540,2016-07-05.07:11:42,105184,105184,339614,200947,663269,0,356236,0,200947,6156,1,-1
BridgeAndVehicles-PT-V20P10N50_LTLS_11_T_,ufscc,64,spotba,-1,1.970,2016-07-05.07:12:35,110022,110022,353448,175574,577924,0,314797,0,175574,5777,1,-1
BridgeAndVehicles-PT-V20P10N50_LTLS_12_T_,ufscc,64,spotba,-1,2.140,2016-07-05.07:13:12,105402,105402,340239,211974,712656,0,372124,0,211974,6163,1,-1
BridgeAndVehicles-PT-V20P10N50_LTLS_5_T_,ufscc,64,spotba,-1,1.950,2016-07-05.07:13:50,105402,105402,340239,167108,544139,0,304240,0,167108,5756,1,-1
BridgeAndVehicles-PT-V20P10N50_LTLS_6_T_,ufscc,64,spotba,-1,1.990,2016-07-05.07:14:27,105402,105402,340239,188824,629774,0,337518,0,188824,6069,1,-1
BridgeAndVehicles-PT-V20P20N10_LTLF_12_T_,ufscc,64,spotba,-1,1.350,2016-07-05.07:15:15,82956,82956,261996,163349,526263,0,259087,0,163349,6044,1,-1
BridgeAndVehicles-PT-V20P20N10_LTLF_13_F_,ufscc,64,spotba,170,1.290,2016-07-05.07:15:21,77942,81141,255906,128559,410641,2,215111,0,128559,6395,2,-1
BridgeAndVehicles-PT-V20P20N10_LTLF_2_F_,ufscc,64,spotba,207,0.820,2016-07-05.07:15:26,18732,21802,60188,29683,84382,1,40355,0,29683,4907,2,-1
BridgeAndVehicles-PT-V20P20N10_LTLF_6_F_,ufscc,64,spotba,177,1.320,2016-07-05.07:15:32,93217,97247,308194,149917,487376,1,267869,0,149917,7088,3,-1
BridgeAndVehicles-PT-V20P20N10_LTLF_7_F_,ufscc,64,spotba,170,0.820,2016-07-05.07:15:38,16054,19621,48990,31248,79439,1,30202,0,31248,5130,5,-1
BridgeAndVehicles-PT-V20P20N10_LTLF_8_T_,ufscc,64,spotba,-1,1.370,2016-07-05.07:15:44,111603,111603,363652,180282,594915,0,320656,0,180282,4396,5,-1
BridgeAndVehicles-PT-V20P20N10_LTLS_0_T_,ufscc,64,spotba,-1,1.320,2016-07-05.07:15:50,87576,87576,275205,177395,574319,0,282543,0,177395,5853,1,-1
BridgeAndVehicles-PT-V20P20N10_LTLS_10_F_,ufscc,64,spotba,177,1.270,2016-07-05.07:15:56,77244,80861,255974,103900,333695,1,195049,0,103900,6142,1,-1
BridgeAndVehicles-PT-V20P20N10_LTLS_14_T_,ufscc,64,spotba,-1,1.310,2016-07-05.07:16:02,87576,87576,275205,174548,566962,0,274471,0,174548,5971,1,-1
BridgeAndVehicles-PT-V20P20N10_LTLS_1_T_,ufscc,64,spotba,-1,1.330,2016-07-05.07:16:07,87576,87576,275205,175805,562577,0,280023,0,175805,5926,1,-1
