model,buchi,sccs,allstates,alltrans,buchisize,scclist,largest_scc,scc1k,scc10k,scc100k,persistence

adding.4.dve,spotba,3370680,3370680,5201282,-1,1:3370680-,1,0,0,0,yes
bridge.3.dve,spotba,838864,838864,1896973,-1,1:838864-,1,0,0,0,yes
brp.4.dve,spotba,1696242,12068447,25085950,-1,10252826:1-48:2540-1:1693701-,10252826,10252826,10252826,10252826,yes
collision.4.dve,spotba,92948,41465543,113148818,-1,5286856:1-3161396:1-3140116:1-3132912:1-3131020:1-1827052:1-1813992:1-1777600:1-1773840:1-1764996:1-1759800:1-1321714:1-998808:1-997076:1-996500:1-991220:1-790349:1-785029:1-783228:1-782755:1-544912:1-456763:1-453498:1-444400:1-443460:1-441249:1-439950:1-249702:1-249269:1-249125:1-247805:1-136228:1-8:1-1:92915-,5286856,41372620,41372620,41372620,yes
cyclic_scheduler.3.dve,spotba,16383,229374,1597440,-1,212992:1-1:16382-,212992,212992,212992,212992,yes
elevator2.3.dve,spotba,1,7667712,55377920,-1,7667712:1-1:0-,7667712,7667712,7667712,7667712,yes
elevator.4.dve,spotba,6,888053,2320984,-1,888048:1-1:5-,888048,888048,888048,888048,yes
exit.3.dve,spotba,2356294,2356294,7047332,-1,1:2356294-,1,0,0,0,yes
leader-election.3.dve,spotba,101360,101360,446024,-1,1:101360-,1,0,0,0,yes
production-cell.3.dve,spotba,1,822612,2496342,-1,822612:1-1:0-,822612,822612,822612,822612,yes
