model,buchi,sccs,allstates,alltrans,buchisize,scclist,largest_scc,scc1k,scc10k,scc100k,persistence

adding.4_F_100,spotba,9944914,9944914,19091135,6,1:9944914-,1,0,0,0,no
adding.4_F_101,spotba,8775806,8775806,15643658,10,1:8775806-,1,0,0,0,no
adding.4_F_102,spotba,3798211,3798211,6515617,4,1:3798211-,1,0,0,0,no
adding.4_F_103,spotba,4829703,4829703,8794629,7,1:4829703-,1,0,0,0,no
adding.4_F_104,spotba,3798181,3798181,6515608,3,1:3798181-,1,0,0,0,no
adding.4_F_105,spotba,8361821,8361821,16761845,9,1:8361821-,1,0,0,0,no
adding.4_F_106,spotba,8846279,8846279,16491886,14,1:8846279-,1,0,0,0,no
adding.4_F_107,spotba,8846203,8846203,15482069,11,1:8846203-,1,0,0,0,no
adding.4_F_108,spotba,5098120,5098120,8655868,5,1:5098120-,1,0,0,0,no
adding.4_F_109,spotba,8846203,8846203,15482069,6,1:8846203-,1,0,0,0,no
adding.4_F_010,spotba,14933777,14933777,31192678,16,1:14933777-,1,0,0,0,no
adding.4_F_110,spotba,9747928,9747928,20690066,8,1:9747928-,1,0,0,0,no
adding.4_F_111,spotba,4875308,4875308,8033079,5,1:4875308-,1,0,0,0,no
adding.4_F_112,spotba,6601800,6601800,12866761,4,1:6601800-,1,0,0,0,no
adding.4_F_113,spotba,9133277,9133277,17426625,10,1:9133277-,1,0,0,0,no
adding.4_F_114,spotba,3798476,3798476,6515898,14,1:3798476-,1,0,0,0,no
adding.4_F_115,spotba,3802740,3802740,6522382,6,1:3802740-,1,0,0,0,no
adding.4_F_116,spotba,13792106,13792106,28804357,6,1:13792106-,1,0,0,0,no
adding.4_F_117,spotba,6443993,6443993,11124771,10,1:6443993-,1,0,0,0,no
adding.4_F_118,spotba,3798206,3798206,6515658,6,1:3798206-,1,0,0,0,no
adding.4_F_119,spotba,9261273,9261273,17657015,12,1:9261273-,1,0,0,0,no
adding.4_F_011,spotba,6994862,6994862,12221082,10,1:6994862-,1,0,0,0,no
adding.4_F_120,spotba,4016949,4016949,6688006,5,1:4016949-,1,0,0,0,no
adding.4_F_121,spotba,21228532,21228532,42000423,18,1:21228532-,1,0,0,0,no
adding.4_F_122,spotba,7168780,7168780,12199442,5,1:7168780-,1,0,0,0,no
adding.4_F_123,spotba,16648518,16648518,35343693,11,1:16648518-,1,0,0,0,no
adding.4_F_124,spotba,7168810,7168810,12199501,8,1:7168810-,1,0,0,0,no
adding.4_F_125,spotba,7083353,7083353,12087542,11,1:7083353-,1,0,0,0,no
adding.4_F_126,spotba,7596337,7596337,14251221,6,1:7596337-,1,0,0,0,no
adding.4_F_127,spotba,8361827,8361827,14406954,8,1:8361827-,1,0,0,0,no
adding.4_F_128,spotba,9561203,9561203,15634079,8,1:9561203-,1,0,0,0,no
adding.4_F_129,spotba,4016715,4016715,6687815,4,1:4016715-,1,0,0,0,no
adding.4_F_012,spotba,8846213,8846213,15482088,10,1:8846213-,1,0,0,0,no
adding.4_F_130,spotba,4016688,4016688,6687777,3,1:4016688-,1,0,0,0,no
adding.4_F_131,spotba,8670572,8670572,17504675,17,1:8670572-,1,0,0,0,no
adding.4_F_132,spotba,6125826,6125826,9377418,9,1:6125826-,1,0,0,0,no
