model,buchi,sccs,allstates,alltrans,buchisize,scclist,largest_scc,scc1k,scc10k,scc100k,persistence

adding.4_F_001,tgba,9298960,9298960,18087458,8,1:9298960-,1,0,0,0,no
adding.4_F_002,tgba,8933504,8933504,20910531,8,1:8933504-,1,0,0,0,no
adding.4_F_003,tgba,7934344,7934344,13575374,9,1:7934344-,1,0,0,0,no
adding.4_F_004,tgba,14113871,14113871,28432063,13,1:14113871-,1,0,0,0,no
adding.4_F_005,tgba,4563781,4563781,7891561,5,1:4563781-,1,0,0,0,no
adding.4_F_006,tgba,4563797,4563797,8699843,9,1:4563797-,1,0,0,0,no
adding.4_F_007,tgba,10757914,10757914,22597318,10,1:10757914-,1,0,0,0,no
adding.4_F_008,tgba,9989720,9989720,30262113,7,1:9989720-,1,0,0,0,no
adding.4_F_009,tgba,4829952,4829952,8794863,10,1:4829952-,1,0,0,0,yes
adding.4_F_010,tgba,13224852,13224852,28127324,10,1:13224852-,1,0,0,0,no
adding.4_F_011,tgba,6994862,6994862,12221082,9,1:6994862-,1,0,0,0,no
adding.4_F_012,tgba,8200259,8200259,14478411,8,1:8200259-,1,0,0,0,no
adding.4_F_013,tgba,9346412,9346412,19188217,7,1:9346412-,1,0,0,0,no
adding.4_F_014,tgba,6741581,6741581,11368523,3,1:6741581-,1,0,0,0,no
adding.4_F_015,tgba,6741357,6741357,11367987,6,1:6741357-,1,0,0,0,no
adding.4_F_016,tgba,3915252,3915252,6689719,5,1:3915252-,1,0,0,0,no
adding.4_F_017,tgba,3370734,3370734,7113999,3,1:3370734-,1,0,0,0,no
adding.4_F_018,tgba,3370680,3370680,5683994,3,1:3370680-,1,0,0,0,no
adding.4_F_019,tgba,7311066,7311066,12511908,15,1:7311066-,1,0,0,0,no
adding.4_F_020,tgba,13482682,13482682,22735911,12,1:13482682-,1,0,0,0,no
adding.4_F_021,tgba,4564237,4564237,7892216,8,1:4564237-,1,0,0,0,no
adding.4_F_022,tgba,4829686,4829686,9294386,8,1:4829686-,1,0,0,0,no
adding.4_F_023,tgba,3798472,3798472,6515894,3,1:3798472-,1,0,0,0,no
adding.4_F_024,tgba,3370995,3370995,8928906,3,1:3370995-,1,0,0,0,no
adding.4_F_025,tgba,6741345,6741345,11367871,13,1:6741345-,1,0,0,0,no
adding.4_F_026,tgba,6741333,6741333,11367935,4,1:6741333-,1,0,0,0,no
adding.4_F_027,tgba,5919917,5919917,10708368,12,1:5919917-,1,0,0,0,no
adding.4_F_028,tgba,8964398,8964398,16739004,7,1:8964398-,1,0,0,0,no
adding.4_F_029,tgba,4829947,4829947,8794857,5,1:4829947-,1,0,0,0,no
adding.4_F_030,tgba,8200247,8200247,15877718,6,1:8200247-,1,0,0,0,no
adding.4_F_031,tgba,15171974,15171974,32209646,16,1:15171974-,1,0,0,0,no
adding.4_F_032,tgba,3370993,3370993,5684326,4,1:3370993-,1,0,0,0,no
adding.4_F_033,tgba,4830068,4830068,8795098,8,1:4830068-,1,0,0,0,no
adding.4_F_034,tgba,3372109,3372109,5685675,5,1:3372109-,1,0,0,0,no
adding.4_F_035,tgba,16896527,16896527,35028089,11,1:16896527-,1,0,0,0,no
adding.4_F_036,tgba,3370742,3370742,5684100,3,1:3370742-,1,0,0,0,no
adding.4_F_037,tgba,3370742,3370742,5684100,3,1:3370742-,1,0,0,0,no
adding.4_F_038,tgba,6741333,6741333,11367935,4,1:6741333-,1,0,0,0,no
adding.4_F_039,tgba,13124893,13124893,27091035,18,1:13124893-,1,0,0,0,no
adding.4_F_040,tgba,9647257,9647257,16960862,7,1:9647257-,1,0,0,0,no
adding.4_F_041,tgba,4400681,4400681,7794966,4,1:4400681-,1,0,0,0,no
adding.4_F_042,tgba,8197552,8197552,15764449,6,1:8197552-,1,0,0,0,no
adding.4_F_043,tgba,4829712,4829712,8794630,5,1:4829712-,1,0,0,0,no
adding.4_F_044,tgba,7934352,7934352,13575392,5,1:7934352-,1,0,0,0,no
adding.4_F_045,tgba,4248274,4248274,6812012,4,1:4248274-,1,0,0,0,no
adding.4_F_046,tgba,6022990,6022990,14146850,6,1:6022990-,1,0,0,0,no
adding.4_F_047,tgba,9862773,9862773,29891093,5,1:9862773-,1,0,0,0,no
adding.4_F_048,tgba,18303047,18303047,38930477,6,1:18303047-,1,0,0,0,no
adding.4_F_049,tgba,8200257,8200257,14478409,12,1:8200257-,1,0,0,0,no
adding.4_F_050,tgba,9299278,9299278,18088162,10,1:9299278-,1,0,0,0,no
adding.4_F_051,tgba,3798155,3798155,7323739,5,1:3798155-,1,0,0,0,no
adding.4_F_052,tgba,3370995,3370995,5684328,3,1:3370995-,1,0,0,0,no
adding.4_F_053,tgba,10526293,10526293,18448294,7,1:10526293-,1,0,0,0,no
adding.4_F_054,tgba,6741635,6741635,11368577,4,1:6741635-,1,0,0,0,no
adding.4_F_055,tgba,3371155,3371155,5684838,7,1:3371155-,1,0,0,0,no
adding.4_F_056,tgba,6563166,6563166,11117639,8,1:6563166-,1,0,0,0,no
adding.4_F_057,tgba,3370995,3370995,5684328,4,1:3370995-,1,0,0,0,no
adding.4_F_058,tgba,12669687,12669687,25170930,5,1:12669687-,1,0,0,0,no
adding.4_F_059,tgba,3370734,3370734,5684049,6,1:3370734-,1,0,0,0,no
adding.4_F_060,tgba,5975843,5975843,14276758,4,1:5975843-,1,0,0,0,no
adding.4_F_061,tgba,9206286,9206286,18445963,5,1:9206286-,1,0,0,0,no
adding.4_F_062,tgba,6741359,6741359,11367988,5,1:6741359-,1,0,0,0,no
adding.4_F_063,tgba,4400697,4400697,10649674,5,1:4400697-,1,0,0,0,no
adding.4_F_064,tgba,8874518,8874518,16337280,7,1:8874518-,1,0,0,0,no
adding.4_F_065,tgba,4564573,4564573,7893130,6,1:4564573-,1,0,0,0,no
adding.4_F_066,tgba,9346384,9346384,19188113,6,1:9346384-,1,0,0,0,no
adding.4_F_067,tgba,3370734,3370734,5684049,3,1:3370734-,1,0,0,0,no
adding.4_F_068,tgba,3370734,3370734,5684049,3,1:3370734-,1,0,0,0,no
adding.4_F_069,tgba,9346384,9346384,19188113,6,1:9346384-,1,0,0,0,no
adding.4_F_070,tgba,10539722,10539722,19761331,8,1:10539722-,1,0,0,0,no
adding.4_F_071,tgba,3370760,3370760,5684101,3,1:3370760-,1,0,0,0,no
adding.4_F_072,tgba,3370995,3370995,5684328,3,1:3370995-,1,0,0,0,no
