model,buchi,sccs,allstates,alltrans,buchisize,scclist,largest_scc,scc1k,scc10k,scc100k,persistence

anderson.1.dve,spotba,20,352664,704302,-1,352645:1-1:19-,352645,352645,352645,352645,yes
anderson.2.dve,spotba,2,1459,3705,-1,1458:1-1:1-,1458,1458,0,0,yes
anderson.3.dve,spotba,1609796,131777303,388237977,-1,130167508:1-1:1609795-,130167508,130167508,130167508,130167508,yes
anderson.4.dve,spotba,2,29641,97516,-1,29640:1-1:1-,29640,29640,29640,0,yes
anderson.6.dve,spotba,2,18206917,86996322,-1,18206916:1-1:1-,18206916,18206916,18206916,18206916,yes
at.1.dve,spotba,1,39354,108438,-1,39354:1-1:0-,39354,39354,39354,0,yes
at.2.dve,spotba,1,49443,146940,-1,49443:1-1:0-,49443,49443,49443,0,yes
at.3.dve,spotba,1,1711620,6075360,-1,1711620:1-1:0-,1711620,1711620,1711620,1711620,yes
at.4.dve,spotba,1,6597245,25470140,-1,6597245:1-1:0-,6597245,6597245,6597245,6597245,yes
at.5.dve,spotba,1,31999440,125231180,-1,31999440:1-1:0-,31999440,31999440,31999440,31999440,yes
at.6.dve,spotba,1,160589600,697096560,-1,160589600:1-1:0-,160589600,160589600,160589600,160589600,yes
bakery.1.dve,spotba,46,1506,2697,-1,1443:1-10:2-1:43-,1443,1443,0,0,yes
bakery.2.dve,spotba,46,1146,2085,-1,1083:1-10:2-1:43-,1083,1083,0,0,yes
bakery.3.dve,spotba,5123,32919,85061,-1,25071:1-971:1-911:1-811:1-13:3-1:5116-,25071,25071,25071,0,yes
bakery.4.dve,spotba,15260,157003,411843,-1,136266:1-1861:1-1839:1-1745:1-13:3-1:15253-,136266,141711,136266,136266,yes
bakery.5.dve,spotba,1000072,7866401,27018304,-1,6283955:1-172587:1-149636:1-128443:1-115561:1-3043:1-2904:1-2765:1-2681:1-2490:1-2215:1-16:4-1:1000057-,6283955,6866280,6850182,6850182,yes
bakery.6.dve,spotba,2636212,11845035,40400559,-1,8567257:1-164925:1-161650:1-154614:1-147198:1-2263:1-2252:1-2241:1-2189:1-2142:1-2043:1-16:4-1:2636197-,8567257,9208774,9195644,9195644,yes
bakery.7.dve,spotba,1897497,29047471,100691444,-1,25686895:1-430642:1-377776:1-328693:1-296401:1-5593:1-5334:1-5075:1-4911:1-4560:1-4045:1-16:4-1:1897482-,25686895,27149925,27120407,27120407,yes
bopdp.1.dve,spotba,12092,12642,24039,-1,23:25-1:12067-,23,0,0,0,yes
bopdp.2.dve,spotba,50,25685,72968,-1,25625:1-12:1-1:48-,25625,25625,25625,0,yes
bopdp.3.dve,spotba,1023793,1040953,2747408,-1,23:780-1:1023013-,23,0,0,0,yes
brp.1.dve,spotba,2880,18928,35772,-1,15724:1-14:25-1:2854-,15724,15724,15724,0,yes
brp.2.dve,spotba,11560,29188,58151,-1,16354:1-18:75-1:11484-,16354,16354,16354,0,yes
brp.3.dve,spotba,225202,996627,2047490,-1,753336:1-28:670-1:224531-,753336,753336,753336,753336,yes
brp.4.dve,spotba,1696242,12068447,25085950,-1,10252826:1-48:2540-1:1693701-,10252826,10252826,10252826,10252826,yes
brp.5.dve,spotba,2500602,17740267,36903290,-1,15069486:1-68:2540-1:2498061-,15069486,15069486,15069486,15069486,yes
brp.6.dve,spotba,4344520,42728113,89187437,-1,38086264:1-54:5610-1:4338909-,38086264,38086264,38086264,38086264,yes
driving_phils.1.dve,spotba,13,14889,28595,-1,14877:1-1:12-,14877,14877,14877,0,yes
driving_phils.2.dve,spotba,16,33173,81854,-1,33158:1-1:15-,33158,33158,33158,0,yes
elevator.1.dve,spotba,4,8543,15914,-1,8540:1-1:3-,8540,8540,0,0,yes
elevator.2.dve,spotba,2,2825,5274,-1,2824:1-1:1-,2824,2824,0,0,yes
elevator2.1.dve,spotba,1,1728,4768,-1,1728:1-1:0-,1728,1728,0,0,yes
elevator2.2.dve,spotba,1,179200,1036800,-1,179200:1-1:0-,179200,179200,179200,179200,yes
elevator2.3.dve,spotba,1,7667712,55377920,-1,7667712:1-1:0-,7667712,7667712,7667712,7667712,yes
elevator.3.dve,spotba,2,416935,1025817,-1,416934:1-1:1-,416934,416934,416934,416934,yes
elevator.4.dve,spotba,6,888053,2320984,-1,888048:1-1:5-,888048,888048,888048,888048,yes
extinction.1.dve,spotba,8993,8993,23750,-1,1:8993-,1,0,0,0,yes
extinction.2.dve,spotba,10061,10061,26683,-1,1:10061-,1,0,0,0,yes
extinction.3.dve,spotba,751930,751930,2669267,-1,1:751930-,1,0,0,0,yes
extinction.4.dve,spotba,2001372,2001372,7116790,-1,1:2001372-,1,0,0,0,yes
fischer.1.dve,spotba,1,634,1395,-1,634:1-1:0-,634,0,0,0,yes
fischer.2.dve,spotba,1,21733,67590,-1,21733:1-1:0-,21733,21733,21733,0,yes
fischer.3.dve,spotba,1,2896705,12280586,-1,2896705:1-1:0-,2896705,2896705,2896705,2896705,yes
fischer.4.dve,spotba,1,1272254,4609671,-1,1272254:1-1:0-,1272254,1272254,1272254,1272254,yes
fischer.5.dve,spotba,1,101028339,477823470,-1,101028339:1-1:0-,101028339,101028339,101028339,101028339,yes
fischer.6.dve,spotba,1,8321728,33454191,-1,8321728:1-1:0-,8321728,8321728,8321728,8321728,yes
iprotocol.1.dve,spotba,1346,6814,22512,-1,504:4-140:2-136:4-132:2-90:10-52:4-34:12-12:16-10:6-8:8-4:174-2:78-1:1026-,504,0,0,0,yes
iprotocol.2.dve,spotba,6060,29994,100489,-1,881:4-829:8-163:10-157:12-155:10-105:26-60:12-40:48-14:34-12:22-10:22-8:24-4:726-2:246-1:4856-,881,0,0,0,yes
iprotocol.3.dve,spotba,244098,1013456,3412754,-1,2196:24-1936:28-1919:24-1811:32-1789:28-1713:32-1505:12-1417:12-1409:16-1321:16-650:24-373:56-346:28-260:12-244:12-242:16-239:52-226:16-209:110-207:56-201:152-199:88-135:178-93:56-92:28-76:144-74:52-72:184-70:52-56:56-52:536-50:54-48:140-46:404-18:622-12:372-11:110-10:372-8:596-4:24804-2:2526-1:211966-,2196,394572,0,0,yes
iprotocol.4.dve,spotba,1037386,3290916,11071177,-1,4367:28-4201:28-3548:28-3209:60-3065:32-3051:20-2878:20-2712:20-2679:20-2245:12-2209:36-2057:24-2029:8-794:104-490:20-455:132-332:40-330:40-318:60-316:24-294:40-293:120-291:80-284:16-255:158-253:152-247:346-165:154-153:40-113:160-112:276-90:180-88:600-86:286-64:928-62:56-60:528-58:744-56:124-54:700-52:872-22:1020-12:1062-11:552-10:1564-8:2220-4:104428-2:4558-1:914666-,4367,1028332,0,0,yes
iprotocol.5.dve,spotba,11018902,31071582,104572634,-1,7850:32-7810:16-7770:16-7690:4-7594:32-7556:16-7518:16-7442:4-6956:68-6782:68-6181:68-6007:68-5568:60-5394:60-5228:164-5199:36-5025:36-4827:196-4647:64-4619:60-4416:36-4218:92-4181:52-4040:36-4013:32-3975:64-3834:108-3639:36-3599:108-3090:20-3047:100-2827:80-2775:16-938:788-578:216-537:488-404:160-402:184-390:324-388:144-386:32-378:32-376:160-374:60-347:1680-346:128-343:372-334:48-301:702-299:1016-293:2092-195:530-181:504-133:816-132:2144-106:1156-104:5048-102:2216-76:4636-74:368-72:3312-70:6194-68:600-66:4148-64:3956-62:828-60:4384-58:3580-26:7702-12:8756-11:5794-10:15098-8:20122-4:1109390-2:26462-1:9770668-,7850,9075512,0,0,yes
iprotocol.6.dve,spotba,10671358,41387484,139545158,-1,5228:504-4827:504-4752:508-4647:512-4541:508-4417:512-4181:252-4013:256-3953:252-3785:256-938:504-537:1016-494:508-404:252-386:256-380:252-362:256-347:504-343:508-301:2030-299:1016-293:3032-283:1528-195:3058-133:1016-132:508-108:2544-106:1012-104:3544-102:1012-80:1016-76:15944-74:508-72:4572-70:12366-26:11662-12:8436-11:2610-10:8436-8:15132-4:1069532-2:81838-1:9410886-,5228,18475388,0,0,yes
iprotocol.7.dve,spotba,21629554,59794192,200828479,-1,8323:284-8141:284-7236:284-6773:444-6557:256-6515:164-6282:164-6052:164-6011:164-5361:100-5317:300-5069:192-5001:64-1082:1016-666:164-619:1028-476:328-474:328-462:500-460:200-438:320-428:128-401:1528-395:656-347:1342-345:1464-339:3098-225:1218-209:328-153:1312-152:2372-122:1620-120:5736-118:2622-88:10712-86:568-84:6248-82:9240-80:2436-78:10140-76:10852-30:9452-12:13834-11:7864-10:20476-8:29492-4:2201960-2:74278-1:19191830-,8323,20017468,0,0,yes
lamport.1.dve,spotba,2748,29242,77286,-1,6719:1-3737:1-3677:1-3593:1-1676:1-1640:1-1620:1-648:1-80:24-7:216-1:2500-,6719,22662,0,0,yes
lamport.2.dve,spotba,11800,110920,303058,-1,20920:1-13636:1-13544:1-13408:1-7951:1-7861:1-7807:1-2727:1-316:2-312:2-308:2-226:4-222:4-218:4-132:30-26:18-7:396-1:11330-,20920,87854,61508,0,yes
lamport.3.dve,spotba,8106,38067,102747,-1,6812:1-4143:1-4086:1-4003:1-2190:1-2157:1-2144:1-648:1-80:24-26:18-7:240-1:7816-,6812,25535,0,0,yes
lamport.5.dve,spotba,140496,1066800,3630664,-1,175568:1-86278:1-85262:1-83864:1-81956:1-36060:1-35498:1-35182:1-34754:1-34438:1-34020:1-13480:1-13216:1-13062:1-12970:1-4568:1-648:64-80:960-7:4816-1:134640-,175568,780176,775608,175568,yes
lamport.6.dve,spotba,1371572,8717688,31502176,-1,947350:1-579131:1-576685:1-573147:1-568093:1-335121:1-332951:1-331650:1-329918:1-328617:1-326789:1-179840:1-178148:1-177116:1-176480:1-39032:1-24280:2-23968:2-23708:2-23500:2-15278:2-15178:2-15162:2-15062:2-15046:2-15034:2-14874:2-14846:2-14774:4-14702:2-14630:2-8465:4-8375:4-8321:4-8285:4-8231:4-8177:4-2727:72-1224:56-346:4-342:4-338:8-334:4-330:4-241:12-237:12-233:12-229:12-132:1440-57:56-26:1656-7:16636-1:1351512-,947350,6994004,6529700,5941036,yes
lamport.7.dve,spotba,6525516,38717846,160667630,-1,4720789:1-2106413:1-2087001:1-2060781:1-2025525:1-1978365:1-824040:1-814056:1-808360:1-800944:1-795248:1-787792:1-783824:1-778128:1-770672:1-760960:1-294324:1-289836:1-287208:1-285628:1-284116:1-281488:1-279908:1-278144:1-276564:1-274560:1-97376:1-95616:1-94560:1-93912:1-93504:1-29920:1-4568:160-648:3520-80:29120-7:107360-1:6385324-,4720789,26970442,26239562,25734674,yes
