model,buchi,sccs,allstates,alltrans,buchisize,scclist,largest_scc,scc1k,scc10k,scc100k,persistence

anderson.1_F_01,tgba,22,357771,723680,2,357750:1-1:21-,357750,357750,357750,357750,no
anderson.1_F_02,tgba,277165,632149,1740634,2,352645:1-10:260-1:276904-,352645,352645,352645,352645,yes
anderson.1_F_05,tgba,20,352664,706848,1,352645:1-1:19-,352645,352645,352645,352645,no
anderson.1_F_07,tgba,42068,394730,791986,2,352645:1-10:2-1:42065-,352645,352645,352645,352645,no
anderson.1_F_08,tgba,314381,669383,1337742,2,352645:1-10:262-1:314118-,352645,352645,352645,352645,no
anderson.1_F_09,tgba,20,352664,1255130,1,352645:1-1:19-,352645,352645,352645,352645,no
anderson.1_T_03,tgba,20,352664,704302,1,352645:1-1:19-,352645,352645,352645,352645,no
anderson.1_T_04,tgba,314381,669383,1889568,2,352645:1-10:262-1:314118-,352645,352645,352645,352645,yes
anderson.1_T_06,tgba,280283,632927,1671830,2,352645:1-1:280282-,352645,352645,352645,352645,yes
anderson.2_F_01,tgba,2,1656,4388,2,1655:1-1:1-,1655,1655,0,0,no
anderson.2_F_05,tgba,2,1459,3705,1,1458:1-1:1-,1458,1458,0,0,no
anderson.2_F_08,tgba,1002,2897,8422,2,1458:1-147:3-1:998-,1458,1458,0,0,no
anderson.2_T_02,tgba,929,2386,7699,2,1458:1-1:928-,1458,1458,0,0,yes
anderson.2_T_03,tgba,2,1459,3705,1,1458:1-1:1-,1458,1458,0,0,no
anderson.2_T_04,tgba,1002,2897,10498,2,1458:1-147:3-1:998-,1458,1458,0,0,yes
anderson.2_T_06,tgba,1376,2833,9198,2,1458:1-1:1375-,1458,1458,0,0,yes
anderson.2_T_07,tgba,183,1640,4148,2,1458:1-1:182-,1458,1458,0,0,no
anderson.2_T_09,tgba,2,1459,9453,1,1458:1-1:1-,1458,1458,0,0,no
anderson.3_F_01,tgba,1835673,136111647,409658183,2,134275975:1-1:1835672-,134275975,134275975,134275975,134275975,no
anderson.3_F_05,tgba,1609796,131777303,391135377,1,130167508:1-1:1609795-,130167508,130167508,130167508,130167508,no
anderson.3_F_07,tgba,14562638,145128911,428973997,2,130167508:1-127695:3-176:6-147:3-15:1014-1:14561611-,130167508,130550593,130550593,130550593,no
anderson.3_T_03,tgba,1609796,131777303,388239021,1,130167508:1-1:1609795-,130167508,130167508,130167508,130167508,no
anderson.4_F_01,tgba,2,33278,113984,2,33277:1-1:1-,33277,33277,33277,0,no
anderson.4_F_05,tgba,2,29641,97516,1,29640:1-1:1-,29640,29640,29640,0,no
anderson.4_F_08,tgba,19640,59095,226688,2,29640:1-2455:4-1:19635-,29640,39460,29640,0,no
anderson.4_T_02,tgba,18544,48183,203160,2,29640:1-1:18543-,29640,29640,29640,0,yes
anderson.4_T_03,tgba,2,29641,97516,1,29640:1-1:1-,29640,29640,29640,0,no
anderson.4_T_04,tgba,19640,59095,280716,2,29640:1-2455:4-1:19635-,29640,39460,29640,0,yes
anderson.4_T_06,tgba,28566,58205,243904,2,29640:1-1:28565-,29640,29640,29640,0,yes
anderson.4_T_07,tgba,2997,32636,107132,2,29640:1-1:2996-,29640,29640,29640,0,no
anderson.4_T_09,tgba,2,29641,323560,1,29640:1-1:1-,29640,29640,29640,0,no
anderson.6_F_01,tgba,2,19989518,98752168,2,19989517:1-1:1-,19989517,19989517,19989517,19989517,no
anderson.6_F_05,tgba,2,18206917,86996322,1,18206916:1-1:1-,18206916,18206916,18206916,18206916,no
anderson.6_F_08,tgba,11606588,36381283,206365844,2,18206916:1-1094631:6-1:11606581-,18206916,24774702,24774702,24774702,no
anderson.6_T_02,tgba,11108112,29315027,181632960,2,18206916:1-1:11108111-,18206916,18206916,18206916,18206916,yes
anderson.6_T_03,tgba,2,18206917,86996322,1,18206916:1-1:1-,18206916,18206916,18206916,18206916,no
anderson.6_T_04,tgba,11606588,36381283,254109048,2,18206916:1-1094631:6-1:11606581-,18206916,24774702,24774702,24774702,yes
anderson.6_T_06,tgba,17912756,36119671,219116316,2,18206916:1-1:17912755-,18206916,18206916,18206916,18206916,yes
anderson.6_T_07,tgba,1325423,19532338,93264408,2,18206916:1-1:1325422-,18206916,18206916,18206916,18206916,no
anderson.6_T_09,tgba,2,18206917,421708752,1,18206916:1-1:1-,18206916,18206916,18206916,18206916,no
at.1_F_01,tgba,1,41633,117045,2,41633:1-1:0-,41633,41633,41633,0,no
at.1_F_02,tgba,9660,69680,193956,2,39354:1-20668:1-1:9658-,39354,60022,60022,0,yes
at.1_F_05,tgba,1,39354,108438,1,39354:1-1:0-,39354,39354,39354,0,no
at.1_F_06,tgba,37213,76566,301305,2,39354:1-1:37212-,39354,39354,39354,0,yes
at.1_T_03,tgba,1,39354,108438,1,39354:1-1:0-,39354,39354,39354,0,no
at.1_T_04,tgba,16148,77994,317311,2,39354:1-20668:1-1086:1-24:3-8:96-1:16046-,39354,61108,60022,0,yes
at.2_F_01,tgba,1,52717,168797,2,52717:1-1:0-,52717,52717,52717,0,no
at.2_F_02,tgba,12629,83536,246750,2,49443:1-20916:1-24:2-8:72-1:12553-,49443,70359,70359,0,yes
at.2_F_05,tgba,1,49443,149052,1,49443:1-1:0-,49443,49443,49443,0,no
at.2_F_06,tgba,40021,89463,356631,2,49443:1-1:40020-,49443,49443,49443,0,yes
at.2_T_03,tgba,1,49443,146940,1,49443:1-1:0-,49443,49443,49443,0,no
at.2_T_04,tgba,22533,95684,411108,2,49443:1-20916:1-1210:1-24:5-8:210-1:22315-,49443,71569,70359,0,yes
