model,buchi,sccs,allstates,alltrans,buchisize,scclist,largest_scc,scc1k,scc10k,scc100k,persistence

BridgeAndVehicles-PT-V10P10N10_LTLC_2_T_,tgba,259556,259556,821302,1,1:259556-,1,0,0,0,yes
BridgeAndVehicles-PT-V10P10N10_LTLC_3_T_,tgba,191676,191676,509937,2,1:191676-,1,0,0,0,yes
BridgeAndVehicles-PT-V10P10N10_LTLC_5_T_,tgba,259556,259556,821302,2,1:259556-,1,0,0,0,yes
BridgeAndVehicles-PT-V10P10N10_LTLC_8_T_,tgba,778663,778663,2973829,4,1:778663-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N10_LTLC_10_T_,tgba,13465139,13465139,46978472,4,1:13465139-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N10_LTLC_6_T_,tgba,102277,102277,312889,2,1:102277-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N10_LTLC_7_T_,tgba,17865975,17865975,62551147,5,1:17865975-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N10_LTLS_10_T_,tgba,87576,87576,275205,1,1:87576-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N10_LTLS_11_T_,tgba,87576,87576,275205,1,1:87576-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N10_LTLS_13_T_,tgba,82956,82956,261996,1,1:82956-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N10_LTLS_14_T_,tgba,82956,82956,261996,1,1:82956-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N10_LTLS_3_T_,tgba,82956,82956,261996,1,1:82956-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N10_LTLS_7_T_,tgba,55832,55832,181886,1,1:55832-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N10_LTLS_8_T_,tgba,82956,82956,261996,1,1:82956-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N20_LTLF_12_T_,tgba,109804,109804,352823,1,1:109804-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N20_LTLS_0_T_,tgba,109804,109804,352823,1,1:109804-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N20_LTLS_10_T_,tgba,105184,105184,339614,1,1:105184-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N20_LTLS_11_T_,tgba,105184,105184,339614,1,1:105184-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N20_LTLS_12_T_,tgba,95542,95542,313191,1,1:95542-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N20_LTLS_13_T_,tgba,109804,109804,352823,1,1:109804-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N20_LTLS_14_T_,tgba,109804,109804,352823,1,1:109804-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N20_LTLS_1_T_,tgba,105184,105184,339614,1,1:105184-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N20_LTLS_8_T_,tgba,109804,109804,352823,1,1:109804-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N20_LTLS_9_T_,tgba,105184,105184,339614,1,1:105184-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N50_LTLC_2_T_,tgba,110022,110022,353448,1,1:110022-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N50_LTLS_11_T_,tgba,110022,110022,353448,1,1:110022-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N50_LTLS_12_T_,tgba,105402,105402,340239,1,1:105402-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N50_LTLS_5_T_,tgba,105402,105402,340239,1,1:105402-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P10N50_LTLS_6_T_,tgba,105402,105402,340239,1,1:105402-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P20N10_LTLC_13_T_,tgba,1367040,1367040,4165966,3,1:1367040-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P20N10_LTLC_15_T_,tgba,6732570,6732570,23489236,3,1:6732570-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P20N10_LTLC_2_T_,tgba,8256101,8256101,46929686,6,1:8256101-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P20N10_LTLC_3_T_,tgba,6732570,6732570,23489236,1,1:6732570-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P20N10_LTLC_4_T_,tgba,6732570,6732570,23489236,3,1:6732570-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P20N10_LTLC_9_T_,tgba,6732570,6732570,23489236,2,1:6732570-,1,0,0,0,yes
BridgeAndVehicles-PT-V20P20N10_LTLF_12_T_,tgba,82956,82956,261996,1,1:82956-,1,0,0,0,yes
